title,height,width,year,drawingMaterial,support,price,sold,series,catalogueNumber,description
Early Fall Meadow,11,14,0,Watercolor,paper,400,,Field and Lakes,,
Early Summer Corn Field,11,14,0,Watercolor,paper,400,,Field and Lakes,,
Empty Box Creek,9,12,0,pastel,paper,400,,Field and Lakes,,
Etra Lake Path,6,8,1997,Pastel,paper,210,,Field and Lakes,,
Fall Entrance to Field,20,20,2020,Acrylic,canvas,1000,,Field and Lakes,,
Fall Entrance to Field 2,20,20,2020,Acrylic,canvas,1000,,Field and Lakes,,
"Fall, Into the Woods",20,20,2020,Acrylic,canvas,1000,,Field and Lakes,,
Field in Early Morning Light,11,14,0,Watercolor,paper,400,,Field and Lakes,,
Haddonfield Bridge,11,14,2015,Watercolor,paper,400,,Field and Lakes,,
Laurita Winery 2,4.5,6,2009,Watercolor,Paper,210,,Field and Lakes,,
"Luarita Winery, 6",4.5,6,2009,Watercolor,Paper,210,,Field and Lakes,,
Millstone Watershed Pond,7,9,1998,pastel,paper,210,,Field and Lakes,,
New Jersey Farm 1,6.5,8,1991,pastel,paper,210,,Field and Lakes,14,
New Jersey Farm House ,9.5,12,1991,pastel,paper,400,,Field and Lakes,16,
New Jersey Farm House 2,9,12,1991,Pastel,Paper,400,,Field and Lakes,,
Night Field,8,10,2020,Oil pastel,canvas,250,,Field and Lakes,,
Night Music,12,16,2020,Acrylic,canvas,500,,Field and Lakes,,
Night Path to Woods,8,10,2020,Oil pastel,canvas,250,,Field and Lakes,,
NJ Farm,7,9,1996,pastel,paper,210,,Field and Lakes,,
November Rain,20,20,2021,Acrylic,canvas,1000,,Field and Lakes,,
Ocky Cabin,4,5.5,2007,pastel,paper,210,,Field and Lakes,209,
Ocky Dock,8,10,2007,Watercolor,paper,,,Field and Lakes,,
Ocky Dock 2,8,10,2007,Watercolor,paper,,,Field and Lakes,,
Ocky Fall Dock,8,10,2007,Watercolor,paper,210,,Field and Lakes,,
October Blue Moon,18,24,2021,Acrylic,canvas,1000,,Field and Lakes,,
PCS Assunpink House,4.5,6,1995,pastel,paper,210,,Field and Lakes,61,
